ID	distance
sub1	8117353
sub1	8124584
sub1	8117625
sub1	8124676
sub1	8119834
sub1	8123170
sub1	8119241
sub1	8119587
sub1	8120371
sub1	8121569
sub2	8117353
sub2	8124584
sub2	8117625
sub2	8124676
sub2	8119834
sub2	8123170
sub2	8119241
sub2	8119587
sub2	8120371
sub2	8121569
sub3	8117353
sub3	8124584
sub3	8117625
sub3	8124676
sub3	8119834
sub3	8123170
sub3	8119241
sub3	8119587
sub3	8120371
sub3	8121569
sub4	8117353
sub4	8124584
sub4	8117625
sub4	8124676
sub4	8119834
sub4	8123170
sub4	8119241
sub4	8119587
sub4	8120371
sub4	8121569
sub5	8117353
sub5	8124584
sub5	8117625
sub5	8124676
sub5	8119834
sub5	8123170
sub5	8119241
sub5	8119587
sub5	8120371
sub5	8121569
sub6	8117353
sub6	8124584
sub6	8117625
sub6	8124676
sub6	8119834
sub6	8123170
sub6	8119241
sub6	8119587
sub6	8120371
sub6	8121569
sub7	8117353
sub7	8124584
sub7	8117625
sub7	8124676
sub7	8119834
sub7	8123170
sub7	8119241
sub7	8119587
sub7	8120371
sub7	8121569
sub8	8117353
sub8	8124584
sub8	8117625
sub8	8124676
sub8	8119834
sub8	8123170
sub8	8119241
sub8	8119587
sub8	8120371
sub8	8121569
sub9	8117353
sub9	8124584
sub9	8117625
sub9	8124676
sub9	8119834
sub9	8123170
sub9	8119241
sub9	8119587
sub9	8120371
sub9	8121569
sub10	8117353
sub10	8124584
sub10	8117625
sub10	8124676
sub10	8119834
sub10	8123170
sub10	8119241
sub10	8119587
sub10	8120371
sub10	8121569
sub11	8117353
sub11	8124584
sub11	8117625
sub11	8124676
sub11	8119834
sub11	8123170
sub11	8119241
sub11	8119587
sub11	8120371
sub11	8121569
sub12	8117353
sub12	8124584
sub12	8117625
sub12	8124676
sub12	8119834
sub12	8123170
sub12	8119241
sub12	8119587
sub12	8120371
sub12	8121569
sub13	8117353
sub13	8124584
sub13	8117625
sub13	8124676
sub13	8119834
sub13	8123170
sub13	8119241
sub13	8119587
sub13	8120371
sub13	8121569
sub14	8117353
sub14	8124584
sub14	8117625
sub14	8124676
sub14	8119834
sub14	8123170
sub14	8119241
sub14	8119587
sub14	8120371
sub14	8121569
sub15	8117353
sub15	8124584
sub15	8117625
sub15	8124676
sub15	8119834
sub15	8123170
sub15	8119241
sub15	8119587
sub15	8120371
sub15	8121569
sub16	8117353
sub16	8124584
sub16	8117625
sub16	8124676
sub16	8119834
sub16	8123170
sub16	8119241
sub16	8119587
sub16	8120371
sub16	8121569
sub17	8117353
sub17	8124584
sub17	8117625
sub17	8124676
sub17	8119834
sub17	8123170
sub17	8119241
sub17	8119587
sub17	8120371
sub17	8121569
sub18	8117353
sub18	8124584
sub18	8117625
sub18	8124676
sub18	8119834
sub18	8123170
sub18	8119241
sub18	8119587
sub18	8120371
sub18	8121569
sub19	8117353
sub19	8124584
sub19	8117625
sub19	8124676
sub19	8119834
sub19	8123170
sub19	8119241
sub19	8119587
sub19	8120371
sub19	8121569
sub20	8117353
sub20	8124584
sub20	8117625
sub20	8124676
sub20	8119834
sub20	8123170
sub20	8119241
sub20	8119587
sub20	8120371
sub20	8121569
sub21	8117353
sub21	8124584
sub21	8117625
sub21	8124676
sub21	8119834
sub21	8123170
sub21	8119241
sub21	8119587
sub21	8120371
sub21	8121569
sub22	8117353
sub22	8124584
sub22	8117625
sub22	8124676
sub22	8119834
sub22	8123170
sub22	8119241
sub22	8119587
sub22	8120371
sub22	8121569
sub23	8117353
sub23	8124584
sub23	8117625
sub23	8124676
sub23	8119834
sub23	8123170
sub23	8119241
sub23	8119587
sub23	8120371
sub23	8121569
sub24	8117353
sub24	8124584
sub24	8117625
sub24	8124676
sub24	8119834
sub24	8123170
sub24	8119241
sub24	8119587
sub24	8120371
sub24	8121569
sub25	8117353
sub25	8124584
sub25	8117625
sub25	8124676
sub25	8119834
sub25	8123170
sub25	8119241
sub25	8119587
sub25	8120371
sub25	8121569
sub26	8117353
sub26	8124584
sub26	8117625
sub26	8124676
sub26	8119834
sub26	8123170
sub26	8119241
sub26	8119587
sub26	8120371
sub26	8121569
sub27	8117353
sub27	8124584
sub27	8117625
sub27	8124676
sub27	8119834
sub27	8123170
sub27	8119241
sub27	8119587
sub27	8120371
sub27	8121569
sub28	8117353
sub28	8124584
sub28	8117625
sub28	8124676
sub28	8119834
sub28	8123170
sub28	8119241
sub28	8119587
sub28	8120371
sub28	8121569
sub29	8117353
sub29	8124584
sub29	8117625
sub29	8124676
sub29	8119834
sub29	8123170
sub29	8119241
sub29	8119587
sub29	8120371
sub29	8121569
sub30	8117353
sub30	8124584
sub30	8117625
sub30	8124676
sub30	8119834
sub30	8123170
sub30	8119241
sub30	8119587
sub30	8120371
sub30	8121569
sub31	8117353
sub31	8124584
sub31	8117625
sub31	8124676
sub31	8119834
